p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene,group
5.648655703209074e-8,0.27232671959392185,0.511,0.448,0.0012031071782265007,6,CRIPT,all
5.72724988367489e-8,0.5131945145783345,0.192,0.137,0.0012198469527239149,6,GPR108,all
6.646425541366829e-8,0.3104411047703571,0.462,0.398,0.0014156221760557208,6,SWI5,all
6.648563917073322e-8,0.30266575234164694,0.548,0.496,0.001416077628697447,6,PTOV1,all
7.172283810553037e-8,0.4264551087787982,0.31,0.25,0.0015276247288096914,6,PDIA5,all
7.254929005979101e-8,0.5605742162137508,0.188,0.135,0.0015452273289834888,6,BAZ2B,all
7.291471900801138e-8,0.48571659041436366,0.273,0.212,0.0015530106001516344,6,FAM234A,all
7.533310058389521e-8,0.5021640401271774,0.197,0.142,0.0016045197093363841,6,OGT,all
7.595020736024414e-8,0.5117727777137642,0.151,0.102,0.00161766346656584,6,MFSD11,all
7.665438733858895e-8,0.352228483868928,0.291,0.228,0.001632661795924606,6,HTATIP2,all
7.908981635067555e-8,0.3456414401747191,0.351,0.289,0.0016845339984530386,6,PSMB8,all
9.136526044054942e-8,0.7696183382492139,0.128,0.083,0.001945988682123262,6,DUSP10,all
9.353302683830096e-8,0.3912983428971156,0.349,0.288,0.001992159938628972,6,STOM,all
9.749090970427044e-8,0.46170437108202944,0.23,0.173,0.002076458885791256,6,IFT81,all
1.0268556543561543e-7,0.42250053393560916,0.261,0.201,0.002187099858213173,6,MED25,all
1.0541780774644084e-7,0.7320773437795944,0.121,0.079,0.0022452938871914433,6,ADGRL2,all
1.0755219116960863e-7,0.4607280045224118,0.287,0.23,0.0022907541197214943,6,WBP2,all
1.080904943264634e-7,0.4473016281064557,0.285,0.225,0.002302219438659344,6,HSBP1L1,all
1.0833061685580755e-7,0.8301158284471462,0.109,0.068,0.002307333808411845,6,ZNF608,all
1.1067084911851129e-7,0.5943936210534682,0.199,0.145,0.002357178415375172,6,FBXO25,all
1.1187620340672306e-7,0.493167399054796,0.224,0.166,0.0023828512563597946,6,PTN,all
1.1336314103951521e-7,0.4898053604443775,0.181,0.128,0.0024145215410006347,6,COG6,all
1.2265004577394005e-7,0.5416095384166526,0.202,0.148,0.002612323324939149,6,ISYNA1,all
1.272081427514394e-7,0.9267840012912028,0.101,0.062,0.0027094062324629076,6,IFITM1,all
1.2765545475463824e-7,0.44676731068849485,0.304,0.247,0.00271893353081904,6,TGIF1,all
1.3674919346192657e-7,0.44113148198322616,0.291,0.231,0.002912621071545574,6,GPX7,all
1.5294782585087742e-7,0.5383127510704306,0.119,0.076,0.003257635742797838,6,CBLB,all
1.577367721595968e-7,0.5305405100227887,0.167,0.117,0.0033596355102272525,6,DHX40,all
1.633708628421014e-7,0.7230708764811524,0.125,0.082,0.003479636007673918,6,KIAA0930,all
1.6358822193465626e-7,0.4341506091915439,0.243,0.186,0.0034842655389862435,6,PLXNB2,all
1.6390324721789298e-7,0.5338040830951885,0.213,0.16,0.003490975262493903,6,B4GAT1,all
1.7491661134643247e-7,0.5685669058716116,0.121,0.079,0.0037255489050676653,6,NLRP1,all
1.7496516516506308e-7,0.660992415647291,0.119,0.077,0.0037265830528506786,6,CCDC74A,all
1.7604698975687087e-7,0.45058458428919756,0.238,0.183,0.0037496248348315928,6,TRIQK,all
1.7719892117616449e-07,0.5614564209815835,0.185,0.133,0.0037741598221311275,6,FBXO21,all
1.7835928752007428e-7,0.5865301049936797,0.155,0.107,0.003798874464890062,6,SRPX2,all
1.9388684781158927e-7,0.48271994980477495,0.254,0.198,0.00412959597153904,6,TFDP2,all
1.9851695900996324e-7,0.3496000834922996,0.436,0.384,0.004228212709953207,6,PGD,all
2.0617477306676634e-7,0.3610603421444112,0.404,0.346,0.004391316491549056,6,CORO1B,all
2.1771416368142972e-7,0.5396409750218787,0.195,0.143,0.004637093972250771,6,HMGCL,all
2.1799717855530006e-7,0.74377702268617,0.136,0.092,0.004643121906049336,6,LRRN4CL,all
2.2992984107026729e-7,0.6053869658571416,0.165,0.117,0.004897275684955623,6,TMEM159,all
2.3120355082720538e-7,0.6276091385728289,0.144,0.099,0.004924404429068647,6,TRAF3IP2,all
2.3243234862217976e-7,0.35800444306655843,0.402,0.343,0.004950576593303807,6,ARMCX6,all
2.3609134094516532e-7,0.48265901605600026,0.272,0.216,0.005028509470791076,6,TSC22D4,all
2.417722411192368e-7,0.3821611487449966,0.356,0.295,0.005149506963598624,6,TCEAL3,all
2.507500018499752e-7,0.49738657383938456,0.229,0.174,0.005340724289402622,6,SMAD1,all
2.6550641044928057e-7,0.4526012468165963,0.195,0.143,0.005655021036159227,6,EXOC4,all
2.708700803505814e-7,0.6980470922416782,0.128,0.085,0.005769261841387033,6,OCEL1,all
2.7789778206507343e-7,0.6685573313077533,0.44,0.391,0.005918944860203999,6,CXCL6,all
2.7856675363493125e-7,0.3125187799863286,0.407,0.348,0.0059331932856704,6,TIA1,all
2.787589239431775e-7,0.4027438025146579,0.228,0.171,0.005937286321065737,6,TNFRSF10D,all
2.991890089527772e-7,0.515850439808409,0.218,0.164,0.006372426701685202,6,DNM3OS,all
3.007343532463332e-7,0.30006014506225576,0.376,0.31,0.0064053409897936505,6,MAPRE2,all
3.01227688844892e-7,0.6422941572925369,0.136,0.092,0.006415848544707355,6,INPP5K,all
3.3090754710633597e-7,0.5659929214420307,0.166,0.118,0.00704799984581785,6,CHST12,all
3.3410546212263006e-7,0.4446082913530274,0.24,0.184,0.007116112237749898,6,RNF130,all
3.420029994447143e-7,0.45704301584278095,0.218,0.163,0.00728432188517297,6,DECR2,all
3.4435801323189045e-7,0.6451948430559464,0.159,0.112,0.007334481323826035,6,DTX3,all
3.6890454584073997e-7,0.4465213185247243,0.258,0.202,0.007857297921861921,6,TAPBP,all
3.689126033244569e-7,0.5605745066929786,0.143,0.098,0.007857469538207608,6,SH3BP5,all
3.769633307320469e-7,0.5209860416405929,0.191,0.139,0.008028941981261868,6,RANBP9,all
3.8093772666067895e-7,0.6253391504095251,0.2,0.15,0.0081135926401458,6,MOSPD3,all
3.85244881210661e-7,0.38443581348086,0.346,0.29,0.008205330724905868,6,BBX,all
4.0790645062606454e-7,0.2993245881729917,0.553,0.501,0.008687999491884549,6,UBE2R2,all
4.213906808378768e-7,0.7546999945274786,0.11,0.071,0.008975200111165938,6,MIB2,all
4.3116313610167556e-7,0.7003277694022616,0.159,0.113,0.009183343635829587,6,EFHC1,all
4.324988963773908e-7,0.46819752195707665,0.172,0.122,0.009211793993942048,6,LMBRD1,all
4.6858446138446583e-7,0.5607144537238755,0.203,0.152,0.009980380443027738,6,ZCCHC24,all
4.7068575690566954e-7,0.6938896238431829,0.134,0.091,0.010025135936333855,6,TNFAIP8,all
4.960768901264433e-7,0.44451831034614453,0.26,0.205,0.010565941682803117,6,MKRN1,all
